region,subregion,region_id,subregion_id
Labe,Mali,6,24
Labe,Koubia,6,21
Labe,Lelouma,6,23
Labe,Tougue,6,25
Labe,Labe,6,22
Boke,Koundara,1,5
Boke,Gaoual,1,4
Boke,Boke,1,2
Boke,Fria,1,3
Boke,Boffa,1,1
Mamou,Dalaba,7,26
Mamou,Pita,7,28
Mamou,Mamou,7,27
Kankan,Siguiri,4,15
Kankan,Mandiana,4,14
Kankan,Kouroussa,4,13
Kankan,Kankan,4,11
Kankan,Kerouane,4,12
Faranah,Dinguiraye,3,8
Faranah,Dabola,3,7
Faranah,Faranah,3,9
Faranah,Kissidougou,3,10
Kindia,Telimele,5,20
Kindia,Dubreka,5,17
Kindia,Kindia,5,19
Kindia,Coyah,5,16
Kindia,Forecariah,5,18
Conakry,Conakry,2,6
N'zerekore,Beyla,8,29
N'zerekore,Gueckedou,8,30
N'zerekore,Macenta,8,32
N'zerekore,Lola,8,31
N'zerekore,N'zerekore,8,33
N'zerekore,Yomou,8,34
